stationCode,stationName,name,stationAddrtw,stationTel,gps,haveBike
5120,枋寮,枋寮,,08-8782041,22.36786 120.59501,Y
5130,加祿,加祿,,08-8720791,22.33085 120.62445,Y
5140,內獅,內獅,,08-8720791,22.30615 120.64322,N
5160,枋山,枋山,,08-8720791,22.26677 120.65968,N
5170,枋野,枋野,,08-8761953,22.28091 120.71709,N
5190,大武,大武,,089-792056,22.36523 120.90081,Y
5200,瀧溪,瀧溪,,089-761482,22.46102 120.94176,Y
5210,金崙,金崙,,089-771068,22.53161 120.96721,Y
5220,太麻里,太麻里,,089-781544,22.61881 121.00502,Y
5230,知本,知本,,089-514482,22.71022 121.06068,Y
5240,康樂,康樂,,089-383107,22.76431 121.09355,Y
5998,南方小站,南方小站,,,22.52755 120.53658,N
5999,潮州基地,潮州基地,,08-7889880,22.52231 120.52642,N
6000,臺東,臺東,,089-229687,22.79376 121.12311,Y
6010,山里,山里,,089-572370,22.86194 121.13778,N
6020,鹿野,鹿野,,089-550217,22.91251 121.13696,Y
6030,瑞源,瑞源,,089-580159,22.95613 121.15902,Y
6040,瑞和,瑞和,,089-580159,22.98111 121.15584,N
6050,關山,關山,,089-811033,23.04564 121.16441,Y
6060,海端,海端,,089-811033,23.10292 121.17676,N
6070,池上,池上,,089-862097,23.12605 121.21956,Y
6080,富里,富里,,03-8831771,23.17916 121.24865,Y
6090,東竹,東竹,,03-8821504,23.22605 121.27842,Y
6100,東里,東里,,03-8861005,23.27233 121.30425,Y
6110,玉里,玉里,,03-8882020,23.33154 121.31172,Y
6120,三民,三民,,03-8841847,23.42455 121.34541,N
6130,瑞穗,瑞穗,,03-8875039,23.49741 121.37684,Y
6140,富源,富源,,03-8811824,23.58031 121.38008,Y
6150,大富,大富,,03-8811824,23.60571 121.38963,N
6160,光復,光復,,03-8704143,23.66631 121.42116,Y
6170,萬榮,萬榮,,03-8752175,23.71199 121.41907,Y
6180,鳳林,鳳林,,03-8762004,23.74636 121.44711,Y
6190,南平,南平,,03-8771597,23.78231 121.45824,Y
